data_out when valid: format                                           
      Real,  dec,      Imag,  dec
0000000001,    1,1111110101,  -11
0000000010,    2,0000000001,    1
0000010001,   17,1111100100,  -28
1111100101,  -27,0000000111,    7
1111001100,  -52,0000101011,   43
1111011000,  -40,0000111111,   63
1111111110,   -2,0000011001,   25
0001011110,   94,1111010110,  -42
0001011010,   90,1110000111, -121
0000011000,   24,1111000100,  -60
1110011100, -100,0000100010,   34
1101110100, -140,0010010001,  145
1111100100,  -28,0001011111,   95
0001101111,  111,1111000110,  -58
0001010111,   87,1110011000, -104
1111000111,  -57,0000000111,    7
1110101111,  -81,0001101100,  108
0000111101,   61,1111111111,   -1
0000101100,   44,1111000000,  -64
0000001101,   13,1111110101,  -11
1111111101,   -3,1111111110,   -2
1111001101,  -51,0000100000,   32
0000011000,   24,0000011101,   29
0000101100,   44,1111000011,  -61
1111111100,   -4,1111111010,   -6
1111101011,  -21,0000010000,   16
0000001110,   14,1111111111,   -1
1111110100,  -12,1111111010,   -6
1111110000,  -16,0000010111,   23
0001000000,   64,1111011100,  -36
0000000010,    2,1111001000,  -56
1110100000,  -96,0001001101,   77
0000001011,   11,0000101100,   44
0000010111,   23,1111011001,  -39
1110111100,  -68,0000110101,   53
0000001111,   15,0000110100,   52
0001111010,  122,1110011100, -100
0001000010,   66,1110010100, -108
1111110010,  -14,1111100011,  -29
1110011011, -101,0000111000,   56
1101110111, -137,0010001011,  139
1111001111,  -49,0001110110,  118
0001101110,  110,1111011110,  -34
0001001101,   77,1110100110,  -90
0000000011,    3,1111111000,   -8
1111110110,  -10,0000010111,   23
1111000011,  -61,0000110010,   50
0000010011,   19,0000110110,   54
0001010010,   82,1110111110,  -66
0001000010,   66,1110111100,  -68
0000011100,   28,1111001111,  -49
1111101101,  -19,1111110100,  -12
1110101011,  -85,0000111101,   61
1111101110,  -18,0000110111,   55
0000010110,   22,1111110011,  -13
0000010001,   17,1111101110,  -18
0000011111,   31,1111101110,  -18
0000001000,    8,1111011110,  -34
0000100010,   34,1111101010,  -22
1111101010,  -22,1111100001,  -31
1110000111, -121,0001100010,   98
0000010110,   22,0000110110,   54
0000110010,   50,1110111100,  -68
1111111100,   -4,1111111011,   -5
0001000110,   70,1111011001,  -39
1111010000,  -48,1111011101,  -35
1110011111,  -97,0001110101,  117
1111101010,  -22,0000111010,   58
1111011000,  -40,0000110000,   48
0000011010,   26,0000110010,   50
0000110001,   49,1111100011,  -29
0000101010,   42,1111110101,  -11
0001010011,   83,1111001011,  -53
1111110000,  -16,1111100101,  -27
1110111010,  -70,0001011001,   89
0000111110,   62,0000000101,    5
0000011110,   30,1111000110,  -58
0000001001,    9,0000001010,   10
0001100000,   96,1110111001,  -71
1111111110,   -2,1110110110,  -74
1111011001,  -39,0000100110,   38
0000011111,   31,1111011110,  -34
1110101100,  -84,0000001011,   11
1110110111,  -73,0001101010,  106
0000110000,   48,1111110011,  -13
0000110011,   51,1110111000,  -72
1111010110,  -42,0000001011,   11
1110100011,  -93,0001011000,   88
0000010110,   22,0000101111,   47
0001011010,   90,1110101101,  -83
0000000001,    1,1111011101,  -35
1110101000,  -88,0001001100,   76
1111111100,   -4,0000111110,   62
0000011111,   31,1111101101,  -19
0000000011,    3,0000000110,    6
0000001011,   11,0000010010,   18
0000001101,   13,1111111100,   -4
0000010000,   16,0000001000,    8
0000011000,   24,1111110010,  -14
0000011101,   29,1111110000,  -16
1111110011,  -13,1111111111,   -1
0000100101,   37,1111111101,   -3
0001011111,   95,1110011110,  -98
1111000100,  -60,1111100111,  -25
1110011011, -101,0001110011,  115
0000001011,   11,0000011101,   29
1111101010,  -22,0000000001,    1
1110111011,  -69,0001011101,   93
0001001111,   79,0000000110,    6
0010001010,  138,1101111000, -136
1111010000,  -48,1111100101,  -27
1111011000,  -40,0001010010,   82
0000010101,   21,1111110001,  -15
1111111010,   -6,1111111100,   -4
0000001110,   14,0000001001,    9
0000110000,   48,1111001101,  -51
0000110011,   51,1111000010,  -62
1110101100,  -84,0000001011,   11
1110110000,  -80,0001101111,  111
0000000011,    3,0000011001,   25
1111001110,  -50,0000100110,   38
0000000000,    0,0001000110,   70
0001011111,   95,1111001001,  -55
0000001010,   10,1111011101,  -35
0000010111,   23,0000001111,   15
0001010011,   83,1110111000,  -72
1111010110,  -42,1111101010,  -22
1111101101,  -19,0000111010,   58
1111111111,   -1,1111110010,  -14
1110100011,  -93,0001001010,   74
0000000101,    5,0001001101,   77
0000111000,   56,1111010011,  -45
1111110001,  -15,0000010000,   16
1111110110,  -10,0000110010,   50
0000110010,   50,1111110110,  -10
0001110010,  114,1110101011,  -85
0000100111,   39,1110101010,  -86
1110110000,  -80,0000101100,   44
1111100011,  -29,0001000001,   65
0000100111,   39,1111100011,  -29
1111100000,  -32,0000000100,    4
1111111101,   -3,0000100110,   38
0000101001,   41,1111011111,  -33
1111000000,  -64,0000011010,   26
0000001110,   14,0000111000,   56
0001100011,   99,1110100101,  -91
0000101100,   44,1110101111,  -81
1110111110,  -66,0000011000,   24
1110011001, -103,0001100011,   99
1111100010,  -30,0001010010,   82
1111111111,   -1,0000010100,   20
1111111100,   -4,0000101100,   44
0000010110,   22,0000010101,   21
